1;"Tyrion Lannister";"293,3";54;;Peter Dinklage
2;"Jon Snow";"268,15";49;;Kit Harington	
3;"Daenerys";"221,3";49;;Emilia Clark	
4;"Cersei Lannister";"201,45";52;;Lena Headey
5;"Sansa Stark";"199,3";47;0;Sophie Turner
6;"Arya Stark";"189,15";47;;Maisie Williams	
7;"Theon Grey";"123,3";39;;Alfie Allen	
8;"Jaime Lannister";"162,3";43;;Nikolaj Coster	
9;"Samwell Tarly";"121,45";37;;John Bradley
10;"Jorah Mormont";"117,3";42;;Iain Glen
